check,expiry,K1,K2,K3,C1,C2,C3,B_value,B_exec,executable,k_bucket,expiry_short,expiry_long,T_short,T_long,w_short,w_long,k_short,k_long
butterfly,2026-08-07 00:00:00,5700.0,5800.0,5900.0,1780.9815915187244,1681.0224143773482,1581.038237235972,-0.012500000000045475,0.07500000000004547,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6000.0,6050.0,6075.0,1481.0540600945958,1431.0869715239076,1406.0909272385636,-0.008333333332984694,0.0500000000001819,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6175.0,6200.0,6225.0,1306.1567500971873,1281.1857058118433,1256.1896615264993,-0.012500000000045475,0.07500000000004547,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6250.0,6300.0,6350.0,1231.1936172411552,1181.251528670467,1131.2594400997789,-0.02500000000009095,0.07500000000004547,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6350.0,6375.0,6400.0,1131.2594400997789,1106.3133958144347,1081.3173515290907,-0.024999999999863576,0.07500000000027285,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6425.0,6450.0,6475.0,1056.3213072437466,1031.3752629584028,1006.3792186730586,-0.02500000000009095,0.07500000000004547,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6475.0,6500.0,6525.0,1006.3792186730586,981.4331743877146,956.4371301023706,-0.02500000000009095,0.07500000000004547,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6525.0,6550.0,6575.0,956.4371301023706,931.4910858170265,906.4950415316824,-0.024999999999977263,0.07499999999993179,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6575.0,6600.0,6625.0,906.4950415316824,881.5489972463383,856.5529529609942,-0.02500000000009095,0.07499999999993179,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6625.0,6650.0,6675.0,856.5529529609942,831.6069086756502,806.6358643903061,-0.012500000000045475,0.07500000000004547,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6700.0,6710.0,6725.0,781.664820104962,771.7164023908246,756.718775819618,-0.030000000000086402,0.06999999999993634,False,,,,,,,,,
butterfly,2026-08-07 00:00:00,6725.0,6750.0,6775.0,756.718775819618,731.7977315342739,706.8266872489298,-0.024999999999977263,0.05000000000006821,False,,,,,,,,,
